Source,Target,artistName,trackName,msPlayed,endTime
Rock Argentino,2. Martes,Fito Paez,Ciudad De Pobres Corazones,328800,2026-06-09 00:10:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Esperando El Impacto,217200,2026-06-09 00:14:00
Rock Argentino,2. Martes,Indio Solari,Flight 956,307080,2026-06-09 00:19:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Vamos las Bandas,228267,2026-06-09 00:23:00
Rock Argentino,2. Martes,Sumo,Mañana en el Abasto,248307,2026-06-09 00:30:00
Rock Argentino,2. Martes,Fito Paez,Polaroid De Locura Ordinaria,209240,2026-06-09 00:33:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Un Pacto - Live In Buenos Aires / 2001,295160,2026-06-09 00:38:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Ropa Sucia,264133,2026-06-09 00:43:00
Rock Argentino,2. Martes,Indio Solari,Pabellón Séptimo (Relato de Horacio),286133,2026-06-09 00:48:00
Rock Argentino,2. Martes,La Renga,El Viento Que Todo Empuja,321800,2026-06-09 00:57:00
Rock Argentino,2. Martes,Fito Paez,"Sasha, Sissí y el círculo de baba",273093,2026-06-09 01:01:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Mariposa Pontiac - Rock del País,289613,2026-06-09 01:06:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Desconexión Sideral,291493,2026-06-09 01:11:00
Rock Argentino,2. Martes,Indio Solari,Había una Vez...,268213,2026-06-09 01:15:00
Rock Argentino,2. Martes,Divididos,Ala Delta,354747,2026-06-09 01:27:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Scaramanzia,329200,2026-06-09 01:33:00
Rock Argentino,2. Martes,Fito Paez,Giros,225240,2026-06-09 01:36:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Veneno De Humanidad,317560,2026-06-09 01:42:00
Rock Argentino,2. Martes,Indio Solari,Por Qué Será Que Dios No Me Quiere?,237907,2026-06-09 01:46:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,El Infierno Está Encantador Esta Noche,292360,2026-06-09 01:54:00
Rock Argentino,2. Martes,Divididos,¿Qué Tal?,180427,2026-06-09 01:57:00
Rock Argentino,2. Martes,Sumo,Crua Chan,210893,2026-06-09 02:01:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Sencillamente,307307,2026-06-09 02:06:00
Rock Argentino,2. Martes,Indio Solari,El Martillo de las Brujas (Malleus Maleficarum),227173,2026-06-09 02:10:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Cruz Diablo!,253893,2026-06-09 02:14:00
Rock Argentino,2. Martes,Fito Paez,La balada de Donna Helena,365640,2026-06-09 02:25:00
Rock Argentino,2. Martes,Divididos,Ortega Y Gases,152507,2026-06-09 02:32:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,La Parabellum del Buen Psicópata,353907,2026-06-09 02:38:00
Rock Argentino,2. Martes,Indio Solari,El Charro Chino,266493,2026-06-09 02:43:00
Rock Argentino,2. Martes,Bersuit Vergarabat,El Viento Trae Una Copla,255173,2026-06-09 02:47:00
Rock Argentino,2. Martes,La Renga,El Rito De Los Corazones Sangrando,239893,2026-06-09 02:51:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Gran Lady,210347,2026-06-09 02:58:00
Rock Argentino,2. Martes,Fito Paez,La Ciudad De Los Pibes Sin Calma,223293,2026-06-09 03:02:00
Rock Argentino,2. Martes,Indio Solari,Y Mientras Tanto el Sol Se Muere...,240800,2026-06-09 03:06:00
Rock Argentino,2. Martes,Bersuit Vergarabat,Perro Amor Explota - Live In Buenos Aires / 2001,268840,2026-06-09 03:10:00
Rock Argentino,2. Martes,La Renga,Cuándo Vendrán,261533,2026-06-09 03:14:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,¡Lobo ¿Estás?!,181613,2026-06-09 03:17:00
Rock Argentino,2. Martes,Fito Paez,Yo te amé en Nicaragua,298987,2026-06-09 03:26:00
Rock Argentino,2. Martes,Indio Solari,La Oscuridad,230053,2026-06-09 03:30:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Fusilados por la Cruz Roja,255000,2026-06-09 03:40:00
Rock Argentino,2. Martes,La Renga,Hablando De La Libertad,369000,2026-06-09 03:46:00
Indie Pop,2. Martes,Patobest,Reina Momo (Acustico),155509,2026-06-09 03:52:00
Rock Argentino,2. Martes,Indio Solari,A la Luz de la Luna,278093,2026-06-09 03:56:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,El Arte del Buen Comer,276440,2026-06-09 04:01:00
Rock Argentino,2. Martes,La Renga,En Pie,253653,2026-06-09 04:11:00
Rock Argentino,2. Martes,Divididos,Dame Un Limón,236947,2026-06-09 04:17:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Las Increíbles Andanzas del Capitán Buscapina en Cybersiberia,284533,2026-06-09 04:21:00
Rock Argentino,2. Martes,Indio Solari,Tsunami,257813,2026-06-09 04:26:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Ella Baila Con Todos,299160,2026-06-09 04:43:00
Rock Argentino,2. Martes,Sumo,No Acabes,60005,2026-06-09 11:00:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero,195173,2026-06-09 22:15:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,El Lobo Caído,34590,2026-06-09 22:15:00
Rock Argentino,2. Martes,Patricio Rey y sus Redonditos de Ricota,Etiqueta Negra,336547,2026-06-09 22:21:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,Rock Yugular,22180,2026-06-10 00:19:00
Rock Argentino,3. Miércoles,Indio Solari,Black Russian,248194,2026-06-10 00:23:00
Rock Argentino,3. Miércoles,Indio Solari,Una Rata Muerta Entre los Geranios,13613,2026-06-10 00:24:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero,195173,2026-06-10 00:27:00
Indie Rock,3. Miércoles,Rosario Bléfari,Viento Helado,178013,2026-06-10 00:32:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero,184643,2026-06-10 00:54:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,116690,2026-06-10 00:56:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,Una Piba Con la Remera de Greenpeace,14547,2026-06-10 01:01:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,136887,2026-06-10 01:17:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,Una Piba Con la Remera de Greenpeace,220467,2026-06-10 01:24:00
Indie Rock,3. Miércoles,Mac DeMarco,Moonlight on the River,422613,2026-06-10 01:31:00
Indie Rock,3. Miércoles,El Mató a un Policía Motorizado,Diamante Roto,181766,2026-06-10 01:46:00
Indie Pop,3. Miércoles,Bandalos Chinos,Departamento,234466,2026-06-10 01:50:00
Rock Argentino,3. Miércoles,Moris,Pato Trabaja en una Carnicería,253813,2026-06-10 01:54:00
Rock Argentino,3. Miércoles,Pescado Rabioso,Como el Viento Voy a Ver,311560,2026-06-10 01:59:00
Indie Pop,3. Miércoles,Srta. Trueno Negro,Si Supiese Escribir,50928,2026-06-10 02:00:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,232000,2026-06-10 11:25:00
Rock Argentino,3. Miércoles,Oscar Moro,Como Me Gustaria Ser Negro,322274,2026-06-10 11:41:00
Indie Rock,3. Miércoles,Mac DeMarco,My Kind of Woman,190846,2026-06-10 11:45:00
Indie Rock,3. Miércoles,El Mató a un Policía Motorizado,Diamante Roto,181766,2026-06-10 11:48:00
Indie Rock,3. Miércoles,El Mató a un Policía Motorizado,Escupíme,181920,2026-06-10 11:51:00
Rock Argentino,3. Miércoles,Babasonicos,Perfume Casino,148810,2026-06-10 11:54:00
Rock Argentino,3. Miércoles,Indio Solari,Black Russian,259000,2026-06-10 12:10:00
Indie Pop,3. Miércoles,The Smiths,Unloveable - 2011 Remaster,236667,2026-06-10 12:14:00
Indie Rock,3. Miércoles,XENEZE,When i Wake,280313,2026-06-10 12:44:00
Rock Argentino,3. Miércoles,Fito Paez,Cable A Tierra,71520,2026-06-10 12:45:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,232000,2026-06-10 15:06:00
Rock Argentino,3. Miércoles,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,300960,2026-06-10 15:11:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,232000,2026-06-10 15:22:00
Indie Rock,3. Miércoles,Perras on the beach,Película,86853,2026-06-10 15:27:00
Indie Rock,3. Miércoles,Perras on the beach,Ramona,117659,2026-06-10 15:29:00
Indie Rock,3. Miércoles,Perras on the beach,Un Montón,252778,2026-06-10 15:33:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,232000,2026-06-10 15:37:00
Indie Rock,3. Miércoles,Perras on the beach,Las Ideas,236716,2026-06-10 15:41:00
Indie Rock,3. Miércoles,Perras on the beach,Tuca,274077,2026-06-10 15:45:00
Indie Rock,3. Miércoles,Perras on the beach,Municipálida,300276,2026-06-10 15:50:00
